pipe:4, 9

60.978 74.335 -166.545
61.041 74.334 -166.497
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.551 -0.142 -0.132
0.53 -0.24 -0.225
0.595 -0.233 -0.199
0.65 -0.209 -0.187
0.71 -0.216 -0.171
0.698 -0.21 -0.168
0.68 -0.198 -0.17
0.658 -0.183 -0.183
0.642 -0.176 -0.201
0.701 -0.08 -0.096
0.601 -0.169 -0.182
0.579 -0.169 -0.172
0.539 -0.154 -0.195
0.516 -0.143 -0.195
0.488 -0.134 -0.177
0.499 -0.103 -0.175
0.522 -0.095 -0.17
0.533 -0.082 -0.174
0.531 -0.101 -0.199
0.534 -0.105 -0.216
0.552 -0.123 -0.214
0.567 -0.126 -0.222
sumTime,angle,sumTime,angleCorrectionPower: , 2780.91 ,  -2.32899 , 2780.91 , -2.38489 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2789.91 ,  -1.181 , 2789.91 , -1.20934 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2799.28 ,  -1.181 , 2799.28 , -1.20934 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2808.34 ,  0.195 , 2808.34 , 0.19968 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2817.72 ,  1.275 , 2817.72 , 1.3056 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2826.52 ,  1.049 , 2826.52 , 1.07418 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2835.48 ,  1.049 , 2835.48 , 1.07418 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2844.2 ,  2.244 , 2844.2 , 2.29786 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2852.92 ,  3.165 , 2852.92 , 3.24096 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2861.62 ,  3.165 , 2861.62 , 3.24096 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
