Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.135 , -0.004 , 1.017 
Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.136 , -0.009 , 1.026 
Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.144 , -0.003 , 1.008 
Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.136 , -0.003 , 1.059 
Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.139 , -0.012 , 1.01 
Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.13 , -0.005 , 1.024 
Raw Acc: , 0.107 , -0.08 , -0.991 , Grav: , -0.119 , -0.007 , 1.024 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.135 , -0.061 , 1.011 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.145 , -0.013 , 1.01 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.139 , -0.01 , 1.009 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.071 , -0.008 , 1.017 
Raw Acc: , 0.103 , -0.081 , -0.991 , Grav: , -0.136 , -0.02 , 1.024 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.137 , -0.005 , 1.026 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.126 , -0.002 , 1.013 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.15 , -0.015 , 1.008 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.136 , -0.005 , 1.035 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.13 , -0.004 , 1.007 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.139 , -0.062 , 1.017 
Raw Acc: , 0.103 , -0.082 , -0.991 , Grav: , -0.137 , -0.006 , 1.041 
Raw Acc: , 0.103 , -0.082 , -0.991 , Grav: , -0.141 , 0.002 , 1.025 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.137 , 0.002 , 1.016 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.146 , -0.01 , 0.948 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.131 , -0.011 , 1.015 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.129 , -0.011 , 1.031 
Raw Acc: , 0.104 , -0.083 , -0.991 , Grav: , -0.143 , -0.012 , 1.004 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.138 , -0.006 , 1.03 
Raw Acc: , 0.103 , -0.084 , -0.991 , Grav: , -0.131 , -0.062 , 1.012 
Raw Acc: , 0.103 , -0.084 , -0.991 , Grav: , -0.132 , -0.001 , 1.01 
Raw Acc: , 0.103 , -0.084 , -0.991 , Grav: , -0.14 , -0.008 , 1.027 
Raw Acc: , 0.103 , -0.084 , -0.991 , Grav: , -0.129 , -0.02 , 1.008 
Raw Acc: , 0.105 , -0.085 , -0.991 , Grav: , -0.185 , -0.002 , 1.027 
Raw Acc: , 0.105 , -0.085 , -0.991 , Grav: , -0.14 , -0.008 , 1.029 
Raw Acc: , 0.105 , -0.085 , -0.991 , Grav: , -0.148 , -0.01 , 1.017 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.138 , -0.001 , 1.04 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.142 , -0.02 , 1.003 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.14 , -0.004 , 1.032 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.122 , 0.001 , 1.02 
Raw Acc: , 0.106 , -0.084 , -0.991 , Grav: , -0.135 , -0.008 , 1.014 
Raw Acc: , 0.106 , -0.084 , -0.991 , Grav: , -0.143 , 0.001 , 1.017 
Raw Acc: , 0.106 , -0.084 , -0.991 , Grav: , -0.136 , -0.008 , 1.014 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.135 , -0.016 , 1.023 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.142 , -0.012 , 1.018 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.137 , -0.011 , 1.015 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.126 , -0.01 , 1.026 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.149 , -0.012 , 1.018 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.138 , -0.01 , 1.023 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.125 , -0.011 , 1.02 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.138 , -0.009 , 1.004 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.137 , -0.011 , 1.046 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.133 , -0.012 , 1.019 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.149 , -0.009 , 1.02 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.144 , -0.005 , 1.017 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.134 , -0.017 , 1.007 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.127 , -0.002 , 1.014 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.142 , -0.007 , 1.03 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.136 , -0.009 , 1.035 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.128 , -0.005 , 1.02 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.14 , -0.006 , 1.004 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.138 , -0.014 , 1.023 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.13 , -0.012 , 1.007 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.134 , -0.014 , 1.009 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.138 , -0.006 , 1.022 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.136 , -0.005 , 1.032 
Raw Acc: , 0.107 , -0.082 , -0.991 , Grav: , -0.138 , -0 , 1.02 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.141 , -0.012 , 1.013 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.139 , -0.016 , 1.02 
Raw Acc: , 0.107 , -0.082 , -0.991 , Grav: , -0.13 , -0.001 , 1.019 
Raw Acc: , 0.107 , -0.082 , -0.991 , Grav: , -0.135 , -0.009 , 1.021 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.148 , -0.011 , 1.01 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.137 , -0.01 , 1.019 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.141 , -0.019 , 1.02 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.147 , -0.006 , 1.005 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.132 , -0.013 , 1.031 
Raw Acc: , 0.107 , -0.083 , -0.991 , Grav: , -0.129 , -0.012 , 1.017 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.147 , -0.008 , 1.017 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.144 , -0.018 , 1.005 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.071 , -0.016 , 1.011 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.13 , -0.01 , 1.008 
Raw Acc: , 0.104 , -0.083 , -0.991 , Grav: , -0.134 , -0.01 , 1.013 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.136 , -0.009 , 1.01 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.142 , -0.008 , 1.02 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.15 , -0.017 , 1.014 
Raw Acc: , 0.105 , -0.084 , -0.991 , Grav: , -0.136 , -0.017 , 1.022 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.128 , -0.009 , 1.008 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.143 , -0.006 , 1.026 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.137 , -0.01 , 1.032 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.142 , -0.008 , 1.007 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.145 , -0.003 , 1.016 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.132 , -0.01 , 1.027 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.134 , -0.015 , 1.025 
Raw Acc: , 0.105 , -0.083 , -0.991 , Grav: , -0.128 , -0.007 , 1.02 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.151 , -0.008 , 1.019 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.137 , -0.005 , 1.009 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.136 , 0 , 1.033 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.136 , -0.013 , 1.013 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.136 , -0.015 , 1.025 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.131 , -0.007 , 1.02 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.131 , -0.009 , 1.013 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.14 , -0.007 , 1.042 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.142 , -0.009 , 1.007 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.138 , -0.009 , 1.006 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.148 , -0.009 , 1.004 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.135 , -0.015 , 1.021 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.066 , -0.008 , 1.029 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.146 , -0.01 , 1.012 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.14 , -0.01 , 1.009 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.14 , -0.006 , 1.024 
Raw Acc: , 0.105 , -0.081 , -0.991 , Grav: , -0.142 , -0.01 , 1.009 
Raw Acc: , 0.105 , -0.081 , -0.991 , Grav: , -0.134 , -0.007 , 1.027 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.134 , -0.018 , 1.013 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.138 , -0.004 , 0.997 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.149 , 0.002 , 1.016 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.139 , -0.022 , 1.004 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.142 , -0.015 , 1.005 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.143 , -0.013 , 1.038 
Raw Acc: , 0.106 , -0.083 , -0.991 , Grav: , -0.138 , -0.006 , 1.022 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.133 , 0.006 , 1.023 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.139 , -0.01 , 1.025 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.142 , -0.006 , 1.022 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.126 , -0.016 , 1.009 
Raw Acc: , 0.106 , -0.082 , -0.991 , Grav: , -0.13 , -0.009 , 1.015 
Raw Acc: , 0.104 , -0.08 , -0.991 , Grav: , -0.077 , -0.006 , 1.03 
Raw Acc: , 0.104 , -0.08 , -0.991 , Grav: , -0.137 , -0.009 , 1.001 
Raw Acc: , 0.104 , -0.08 , -0.991 , Grav: , -0.141 , 0.001 , 1.014 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.137 , -0.011 , 1.018 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.127 , -0.008 , 1.022 
Raw Acc: , 0.104 , -0.08 , -0.991 , Grav: , -0.123 , -0.007 , 1.017 
Raw Acc: , 0.104 , -0.08 , -0.991 , Grav: , -0.137 , -0.008 , 1.015 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.15 , -0.014 , 1.021 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.137 , -0.007 , 1.023 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.138 , -0.016 , 0.992 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.148 , -0.014 , 1.011 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.131 , -0.012 , 1.028 
Raw Acc: , 0.104 , -0.081 , -0.991 , Grav: , -0.127 , -0.011 , 1.017 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.145 , -0.008 , 1.017 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.145 , -0.008 , 1.028 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.133 , -0.004 , 1.002 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.133 , -0.007 , 1.015 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.136 , -0.016 , 1.021 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.134 , -0.013 , 1.027 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.13 , -0.001 , 1.003 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.14 , -0.003 , 1.017 
Raw Acc: , 0.105 , -0.082 , -0.991 , Grav: , -0.129 , -0.019 , 1.018 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.128 , -0.015 , 1.02 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.135 , -0.017 , 1.019 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.142 , -0.003 , 1.021 
Raw Acc: , 0.103 , -0.084 , -0.991 , Grav: , -0.133 , -0.058 , 1.017 
Raw Acc: , 0.103 , -0.084 , -0.991 , Grav: , -0.143 , -0.005 , 1.031 
Raw Acc: , 0.104 , -0.083 , -0.991 , Grav: , -0.137 , -0.006 , 1.019 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.131 , -0.012 , 1.011 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.123 , -0.007 , 1.023 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.127 , -0.017 , 1.032 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.139 , -0.008 , 1.021 
Raw Acc: , 0.103 , -0.082 , -0.991 , Grav: , -0.136 , -0.002 , 1.04 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.138 , -0.011 , 1.007 
Raw Acc: , 0.104 , -0.082 , -0.991 , Grav: , -0.143 , -0.004 , 1.026 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.124 , -0.018 , 1.012 
Raw Acc: , 0.103 , -0.083 , -0.991 , Grav: , -0.132 , -0.013 , 1.012 
