Raw Acc: , 0.193 , -0.252 , -0.948 , Grav: , -0.193 , 0.261 , 0.965 
Raw Acc: , 0.193 , -0.252 , -0.948 , Grav: , -0.208 , 0.262 , 0.987 
Raw Acc: , 0.192 , -0.252 , -0.948 , Grav: , -0.195 , 0.258 , 0.988 
Raw Acc: , 0.192 , -0.252 , -0.948 , Grav: , -0.193 , 0.268 , 0.978 
Raw Acc: , 0.192 , -0.252 , -0.948 , Grav: , -0.194 , 0.259 , 0.969 
Raw Acc: , 0.192 , -0.252 , -0.948 , Grav: , -0.201 , 0.255 , 0.981 
Raw Acc: , 0.192 , -0.252 , -0.949 , Grav: , -0.186 , 0.251 , 0.975 
Raw Acc: , 0.192 , -0.252 , -0.949 , Grav: , -0.205 , 0.255 , 0.978 
Raw Acc: , 0.192 , -0.251 , -0.949 , Grav: , -0.2 , 0.254 , 0.979 
Raw Acc: , 0.192 , -0.252 , -0.949 , Grav: , -0.195 , 0.266 , 0.969 
Raw Acc: , 0.193 , -0.251 , -0.948 , Grav: , -0.207 , 0.255 , 0.967 
Raw Acc: , 0.193 , -0.251 , -0.948 , Grav: , -0.203 , 0.254 , 0.971 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.194 , 0.254 , 0.976 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.196 , 0.256 , 0.967 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.2 , 0.263 , 0.979 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.206 , 0.251 , 0.961 
Raw Acc: , 0.193 , -0.251 , -0.948 , Grav: , -0.202 , 0.255 , 0.962 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.193 , 0.261 , 0.982 
Raw Acc: , 0.193 , -0.253 , -0.948 , Grav: , -0.209 , 0.307 , 0.973 
Raw Acc: , 0.193 , -0.253 , -0.948 , Grav: , -0.186 , 0.266 , 0.983 
Raw Acc: , 0.193 , -0.253 , -0.948 , Grav: , -0.196 , 0.261 , 0.97 
Raw Acc: , 0.193 , -0.253 , -0.948 , Grav: , -0.205 , 0.25 , 0.959 
Raw Acc: , 0.193 , -0.252 , -0.948 , Grav: , -0.196 , 0.245 , 0.977 
Raw Acc: , 0.193 , -0.252 , -0.948 , Grav: , -0.191 , 0.248 , 0.961 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.2 , 0.253 , 0.992 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.203 , 0.255 , 0.963 
Raw Acc: , 0.192 , -0.251 , -0.949 , Grav: , -0.195 , 0.265 , 0.985 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.207 , 0.238 , 0.953 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.201 , 0.259 , 0.983 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.186 , 0.257 , 0.971 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.197 , 0.254 , 0.971 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.212 , 0.265 , 0.986 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.199 , 0.257 , 0.963 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.189 , 0.257 , 0.962 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.201 , 0.251 , 0.984 
